stt,kanji,hanviet,hiragana,mean,vidu,dichvidu
,男性,Nam tính,だんせい,Nam giới,理想の男性と結婚する,Kết hôn với người đàn ông lý tưởng
,女性,Nữ tính,じょせい,Nữ giới,理想の女性と結婚する,Kết hôn với người phụ nữ lý tưởng
,理想,Lý tưởng,りそう,Lý tưởng,,
,高齢,Cao linh,こうれい,Cao tuổi,祖母は高齢だが、まだとても元気だ。,Bà tôi tuy tuổi đã cao nhưng rất khoẻ mạnh
,年上,Niên thượng,としうえ,Hơn tuổi,彼女は私の三つ年上だ,Cô ấy hơn tôi 3 tuổi
,目上,Mục thượng,めうえ,Người trên,目上の人には敬語で話したほうがいい,Đối với người bề trên nên nói chuyện bằng kính ngữ
,敬語,Kính ngữ,けいご,Kính ngữ,,
,先輩,Tiền bối,せんぱい,Tiền bối,田中さんと私は同じ年だが、職場では彼のほうが先輩だ。,Tanaka và tôi cùng tuổi nhưng ở công ty cậu ấy là tiền bối
,後輩,Hậu bối,こうはい,Hậu bối,,
,職場,Chức trường,しょくば,Nơi làm việc,,
,上司,Thượng ty,じょうし,Cấp trên,上司に相談してから。決定する。,Tôi sẽ trao đổi với cấp trên rồi mới quyết định
,決定,Quyết định,けってい,Quyết định,,
,相手,Tương thủ,あいて,Đối tác,相手の目を見て話す。,Nhìn vào mắt người đối diện mà nói chuyện
,就職,Tựu chức,しゅうしょく,Có việc làm,知り合いに息子の就職を頼む。,Nhờ người quen xin việc cho đứa con trai
,友人,Hữu nhân,ゆうじん,Bạn thân,田中さんを知っていますか？ええ、学生時代の友人です。,"Bạn có biết anh Tanaka không? Có, là bạn thời học sinh của tôi"
,時代,Thời đại,じだい,Thời đại,,
,仲,Trọng,なか,Quan hệ,私は山本さんと仲がいい。,Tôi thân với anh Yamamoto
,生年月日,Sinh Niên Nguyệt Nhật,せいねんがっぴ,Ngày tháng năm sinh,書類に生年月日を記入する。,Điền ngày tháng năm sinh vào tài liệu
,誕生,Đản sinh,たんじょう,Ra đời,結婚2年目に子供が誕生した。,Đứa bé đã được sinh vào năm thứ 2 sau khi kết hôn
,出身,Xuất thân,しゅっしん,Xuất thân,ご出身はどちらですか？私は東京の出身です。,Bạn đến từ đâu? Tôi đến từ Tokyo
,命,Mệnh,いのち,"Số mệnh, cuộc sống",新しい命の誕生を祝う。,Cầu chúc sự ra đời của 1 sinh mệnh mới
,計画,Kế hoạch,けいかく,Kế hoạch,年の初めに1年の計画を立てる。,Lập kế hoạch cho 1 năm vào đầu năm mới
,故郷,Cố hương,こきょう,Quê hương,仕事が忙しくてもう何年も故郷に帰っていない。,"Vì công việc bận rộn ,nên nhiều năm chưa trở về quê hương"
,事業,Sự nghiệp,じぎょう,Sự nghiệp,事業の成長,Tăng trưởng kinh doanh
,喜ぶ,Hỉ,よろこぶ,Hạnh phúc,子供の成長を喜ぶ。,Vui mừng vì sự trưởng thành của đứa con
,記入する,Kí nhập,きにゅうする,Nhập vào,,
,立てる,Lập,たてる,Lập ( kế hoạch),,
,頼む,Lại,たのむ,Nhờ vả,,
,成長する,Thành trường,せいちょうする,Trưởng thành,経済が大きく成長した。,Nền kinh tế phát triển mạnh
,成人する,Thành nhân,せいじんする,Người lớn,日本では二十歳以上の人を成人という。,Ở Nhật người ta gọi người trên 20 tuổi là người trưởng thành
,合格する,Hợp cách,ごうかくする,Đỗ (kỳ thi),（大学／入学試験。。）に合格する。,Đỗ (kì thi đại học/ kì thi nhập học)
,進学する,Tiến học,しんがくする,Đi học,子供の進学について考える。,Tôi suy nghĩ về việc học lên của đứa con
,退学する,Thoái học,たいがくする,Bỏ học,退学の理由を説明する。,Trình bày lý do thôi học
,就職する,Tựu chức,しゅうしょくする,Có việc làm,旅行会社に就職する。,Tôi sẽ làm việc ở công ty du lịch
,介護,Giới hộ,かいご,Chăm sóc,母の介護のため、退職を決めた。,Tôi quyết định thôi việc để chăm sóc mẹ
,決める,Quyết,きめる,Quyết định,,
,退職する,Thoái chức,たいしょくする,Nghỉ việc,長年勤めた会社を退職した。,Tôi đã nghỉ việc ở công ty làm lâu năm
,倒産する,Đảo sản,とうさんする,Phá sản,会社を倒産して、失業した。,Vì công ty phá sản nên tôi thất nghiệp
,失業する,Thất nghiệp,しつぎょうする,Thất nghiệp,,
,残業する,Tàn nghiệp,ざんぎょうする,Làm thêm giờ,残業が多くて疲れた。,Vì tăng ca nhiều nên mệt mỏi
,疲れる,Bì,つかれる,Mệt,,
,生活する,Sinh hoạt,せいかつする,Cuộc sống,健康的な生活を送る。,Sống cuộc sống khoẻ mạnh
,通勤する,Thông cần,つうきんする,Đi làm,私は毎日１時間かけて通勤している。,Hàng ngày tôi mất một tiếng đi làm
,学歴,Học lịch,がくれき,Bằng cấp,学歴が高くても、実力があるかどうかはわからない。,Cho dù bằng cấp cao nhưng thực lực thì không biết thế nào
,実力,Thực lực,じつりょく,Thực lực,会社から給料をもらう。,Nhận lương từ công ty
,給料,Cấp liệu,きゅうりょう,Lương,,
,面接する,Diện tiếp,めんせつする,Phỏng vấn,今日会社の人と面接がある。,Hôm nay có buổi phỏng vấn với người trong công ty
,休憩する,Hưu khế,きゅうけいする,Nghỉ giải lao,ではここで、10分間の休憩です。,"""Thế thì,nghỉ giải lao từ 10 phút từ bây giờ"""
,観光する,Quan quang,かんこうする,Thăm quan,来日の目的は観光です。,Mục đích đến Nhật Bản là du lịch
,帰国する,Quy quốc,きこくする,Về nước,今度の正月には帰国するつもりだ。,Dịp tết lần này tôi dự định về nước
,帰省する,Quy tỉnh,きせいする,Về quê,お盆にはふるさとに帰省する日本人が多い。,Vào dịp lễ Obon rất nhiều người Nhật về quê nhà
,帰宅する,Quy trạch,きたくする,Về nhà,毎日忙しくて帰宅が遅い。,Hàng ngày tôi bận nên về nhà muộn
,参加する,Tham gia,さんかする,Tham gia,ボランティア活動に参加する。,Tham gia hoạt động tình nguyện
,活動,Hoạt động,かつどう,Hoạt động,,
,出席する,Xuất tịch,しゅっせきする,Tham gia,ミーティングに出席する。,Tham dự cuộc họp
,欠席する,Khuyết tịch,けっせきする,Không tham gia,授業を欠席する。,Vắng mặt buổi họp
,寝坊,Tẩm phường,ねぼう,Ngủ quên,寝坊して授業に遅刻する。,Vì ngủ quên nên đến lớp trễ
,遅刻する,Trì khắc,ちこくする,Đến muộn,面接では1分の遅刻も許されない。,Tại buổi phỏng vấn trễ 1 phút cũng không được
,化粧する,Hóa trang,けしょうする,Trang điểm,あなたは毎日、お化粧に何分ぐらいかけていますか？,Bạn mất nao nhiêu phút để trang điểm mỗi ngày
,苦手,Khổ thủ,にがて,Kém,私は計算が苦手だ。,Tôi không giỏi tính toán
,計算する,Kế toán,けいさんする,Tính toán,旅行にいくらかかるか計算する。,Tính toán xem chi phí du lịch tiêu tốn bao nhiêu
,計画する,Kế hoạch,けいかくする,Kế hoạch,来年の計画を立てる。,Lập kế hoạch cho năm tới
,成功する,Thành công,せいこうする,Thành công,実験に成功する。,Thí nghiệm thành công
,失敗する,Thất bại,しっぱいする,Thất bại,このパソコンを買ったのは失敗だった。,Việc mua cái máy tính này là thất bại
,実験,Thực nghiệm,じっけん,Thực nghiệm,実験の失敗で、計画は中止になった。,Vì thí nghiệm thất bại nên kế hoạch phải dừng lại
,準備する,Chuẩn bị,じゅんびする,Chuẩn bị,引っ越しの準備が終わった。,Việc chuẩn bị chuyển nhà đã xong
,整理する,Chỉnh lý,せいりする,Sắp xếp,勉強の前に机の上に整理する。,Dọn dẹp mọi thứ trên bàn trước khi học bài
,書類,Thư loại,しょるい,Giấy tờ,,
,品,Phẩm,しな,Hàng hóa,注文の品が届く。,Sản phẩm đặt hàng sẽ được gửi đến
,届く,Giới,とどく,Đến nơi,,
,注文する,Chú văn,ちゅうもんする,Đặt hàng gọi món,喫茶店でコーヒーを注文する。,Gọi cà phê tại quán giải khát
,貯金する,Trữ kim,ちょきんする,Tiết kiệm,銀行にボーナスを貯金する。,Gửi tiết kiệm số tiền thưởng vào ngân hàng
,増える,Tăng,ふえる,Tăng,貯金が増える。,Tiền tiết kiệm gia tăng
,徹夜する,Triệt dạ,てつやする,Thức xuyên đêm,徹夜で勉強する。,Học suốt đêm không ngủ
,身長,Thân trường,しんちょう,Chiều cao,身長を測る。,Đo chiều cao cơ thể
,体重,Thể trọng,たいじゅう,Cân nặng,体重を測る。,Đo cân nặng cơ thể
,怪我,Quái ngã,けが,Bị thương,転んで足に怪我をした。,Bị thương ở chân do té ngã
,趣味,Thú vị,しゅみ,Sở thích,彼女はいつも趣味のいい服を着ている。,Cô ấy lúc nào cũng mặc quần áo hợp thời trang
,読書,Độc thư,どくしょ,Đọc sách,趣味は読書です。,Sở thích là đọc sách
,興味,Hưng vị,きょうみ,Hứng thú,小さい子供は何にでも興味を持つ。,Trẻ nhỏ có hứng thú với tất cả mọi thứ
,歴史,Lịch sử,れきし,Lịch sử,私は歴史に興味がある。,Tôi có hứng thú với lịch sử
,思い出,Tư xuất,おもいで,Hồi ức,子供の頃の思い出。,Kỉ niệm thời thơ ấu
,冗談,Nhũng đàm,じょうだん,Đùa cợt,冗談を言ったら、みんなが本気にした。,Tôi nói đùa mà mọi người xem là thật
,本気,Bản khí,ほんき,Sự thật,,
,目的,Mục đích,もくてき,Mục đích,日本に来た目的は大学への入学だ。,Mục đích tôi đền Nhật Bản là vào đại học
,約束する,Ước thúc,やくそくする,Lời hứa,約束の時間に間に合うかどうか心配だ。,Tôi lo lắng về việc liệu tôi có thể kịp thời gian cuộc hẹn hay không?
,おしゃべりする,,,Nói chuyện,授業中に隣の人とおしゃべりしていて、先生に怒られた。,Vì tôi đã nói chuyện suốt với bạn bên cạnh nên giáo viên đã nổi giận
,怒る,Nộ,おこる,Tức giận,,
,遠慮する,Viễn lự,えんりょ,Ngại ngần,遠慮しないで食べて下さい。,"""Ăn đi,đừng khách sáo"""
,我慢する,Ngã mạn,がまんする,Chịu đựng,痛くても我慢する。,Dù đau nhưng vẫn chịu đựng
,迷惑する,Mê hoặc,めいわくする,Làm phiền,人に迷惑をかけてはいけない。,Không được làm phiền người khác
,捨てる,Vứt,すてる,Vứt,最後まで希望を捨ててはいけない。,Không được từ bỏ hi vọng khi chưa kết thúc
,希望,Hi vọng,きぼう,Hi vọng,私はふるさとでの就職を希望している。,Tôi hi vọng tìm được việc ở quê nhà
,夢,Mộng,ゆめ,"Giấc mơ, ước mơ",あなたの将来の夢はなんですか？,Ước mơ tương lai của bạn là gì?
,怖い,Bố trong khủng bố,こわい,Đáng sợ,昨日、怖い夢を見た。,"Hôm qua,tôi đã gặp ác mộng"
,賛成する,Tán thành,さんせいする,Tán thành,私はその（提案／意見）に（賛成だ／賛成する）。,Tôi đồng ý với( đề án/ ý kiến) đó
,挙げる,Cử,あげる,Giơ tay,賛成の人は手を挙げて下さい。,"""Ai tán thành thì giơ tay"""
,反対する,Phản đối,はんたいする,Phản đối,彼の意見には反対だ。,Tôi phản đối ý kiến của anh ấy
,想像する,Tưởng tượng,そうぞう,Tưởng tượng,100年後の未来を想像する。,Tưởng tượng về tương lai 100 năm sau
,現実,Hiện thực,げんじつ,"Hiện thực, sự thật",想像と現実は違う。,Tưởng tượng và thực tế khác nhau
,努力する,Nỗ lực,どりょくする,Nỗ lực,一生懸命、努力をする。,Cố gắng hết sức
,太陽,Thái dương,たいよう,Mặt trời,太陽が昇って、暖かくなった。,"Mặt trời lên,thời tiết trở nên ấm áp"
,昇る,Thăng,のぼる,"Lên cao, tăng lên",,
,地球,Địa cầu,ちきゅう,Trái đất,地球の環境が悪化している。,Môi trường của trái đất ngày càng xấu đi
,環境,Hoàn cảnh,かんきょう,Môi trường,,
,温度,Ôn độ,おんど,Nhiệt độ,温度を測る。,Đo nhiệt độ
,湿度,Thấp độ,しつど,Độ ẩm,今年の夏は特に湿度が高い。,Hè năm nay độ ẩm cao một cách bất thường
,湿気,Thấp khí,しっけ,Hơi ẩm không khí ẩm thấp,日本の夏は湿気が多い。,Mùa hè ở Nhật bản rất ẩm ướt
,梅雨,Mai vũ,つゆ,Mùa mưa,6月から7月は梅雨の時期だ。,Từ tháng 6 đến tháng 7 là mùa mưa
,黴,mi,かび,Nấm mốc,梅雨の時期は黴がはえやすい。,Mùa mưa nấm mốc dễ phát triển
,時期,Thời kì,じき,Thời kì,,
,暖房,Noãn phòng,だんぼう,Thiết bị làm ấm,寒いので、暖房をつける。,Bởi vì trời lạnh nên bật máy sưởi ấm
,皮,Bì,かわ,"Vỏ, da",りんごの皮をむいて食べる。,Gọt vỏ táo rồi ăn
,画面,Họa diện,がめん,Màn hình,パソコンの画面をずっと見ていると、目が疲れる。,Cứ nhìn suốt vào màn hình máy tính thì sẽ mỏi nắt
,番組,Phiên tổ,ばんぐみ,Chương trình,テレビの番組を見る。,Xem chương trình tivi
,記事,Kí sự,きじ,Kí sự phóng sự,この記事のよると、日本に住む外国人が増えているそうだ。,"Theo bài viết này,nghe nói người nước ngoài đang sống ở Nhật đang gia tăng"
,近所,Cận sở,きんじょ,"Hàng xóm, xung quanh",近所の人とは仲良くしてほうがいい。,Nên tạo mối quan hệ tốt với hàng xóm
,盗む,Đạo,ぬすむ,Ăn trộm,自転車を盗まれたので、警察に届けた。,Vì bị lấy mất xe đạp nên tôi đến cảnh sát trình bày
,警官,Cảnh quan,けいかん,Cảnh sát,,
,犯人,Phạm nhân,はんにん,Tội phạm,犯人をつかまえる。,Bắt giữ tội phạm
,小銭,Tiểu tiền,こぜに,Tiền lẻ,バスに乗ってから、小銭がないことに気がつき、とても困った。,"Sau khi lên xe bus tôi mới nhận ra là mình không có tiền lẻ,thật sự éo le"
,お祝う,Chúc,おいわう,Chúc mừng,家族みんなでごちそうを食べて、祖父の誕生日を祝った。,Mọi người trong gia đình cùng ăn tiệc và chúc mừng sinh nhật của ông
,ご馳走,trì tẩu,ごちそう,Chiêu đãi,昨日は先輩にご馳走になった。,Hôm qua tôi đã được tiền bối chiêu đãi
,作者,Tác giả,さくしゃ,Tác giả,（小説／詩／絵。。）の作者。,Tác giả của (tiểu thuyết/thơ/tranh..)
,作品,Tác phẩm,さくひん,Tác phẩm,学生の作品をロビーに展示する。,Trưng bày tác phẩm của học sinh ở sảnh
,展示,Triển kì,てんじ,Trưng bày,,
,制服,Chế phục,せいふく,Đồng phục,日本の中学生には制服のある学校が多い。,Nhiều trường trung học ở Nhật Bản có đồng phục
,食器,Thực khí,しょっき,Bát đĩa,洗剤で食器を洗う。,Rửa chén bát bằng nước rửa chén
,洗剤,Tẩy tễ,せんざい,Chất tẩy rửa xà bông bột bột làm bánh,,
,底,Để,そこ,Đáy,靴の底に穴があく。,Thủng lỗ ở đế giày
,進む,Tiến,すすむ,Tiến lên/triển/bộ,大都市は地下の開発が進んでいる。,Đô thị lớn đang phát triển tầng hầm dưới mặt đất
,開発,Khai phát,かいはつ,Phát triển,,
,都市,Đô thị,とし,Thành phố,,
,寺,Tự,てら,Chùa,寺に参ります。,Đi thăm đền thờ
,道路,Đạo lộ,どうろ,Con đường,日本では、車は道路の左側を走る。,"Ở Nhật, ô tô chạy phía bên trái con đường"
,坂,Phản,さか,Dốc,坂を登る。,Leo lên dốc
,煙,Yên,けむり,Khói,たばこの煙は体に悪い。,Khói thuốc lá có hại cho sức khoẻ
,逃げる,Đào,にげる,"Bỏ chạy, tẩu thoát",火事の時は煙に注意して逃げてくだない。,"Khi có hoả hoạn,hãy cẩn thận với khói và trốn thoát"
,火事,Hỏa sự,かじ,Hỏa hoạn,,
,灰,Hôi,はい,Tro tàn,紙が燃えて灰になる。,Giấy cháy thành tro
,判,Phán,はん,Con dấu,書類に判を押す。,Đóng dấu vào tài liệu
,名刺,Danh thích,めいし,Danh thiếp,パーティーで会った人に名刺を配った。,Tôi trao danh thiếp cho những người đã gặp ở bữa tiệc
,交換,Giao hoán,こうかん,Trao đổi,名刺を交換する。,Trao đổi danh thiếp
,免許,Miễn hứa,めんきょ,Giấy phép,レストランを開くには調理師の免許が必要だ。,Để mở nhà hàng cần có chứng chỉ đầu bếp
,必要（な）,Tất yếu,ひつよう,Cần thiết,,
,調理師,Điều lý sư,ちょうりし,Đầu bếp,,
,多く,Đa,おおく,Nhiều,オリンピックには多くの国が参加した。,Nhiều quốc gia đã tham gia Thế vận hội
,前半,Tiền bán,ぜんはん,Phần đầu,映画の前半はたいくつだったが、後半は面白かった。,Phần đầu phim chán lắm nhưng phần sau thì thú vị
,後半,Hậu bán,こうはん,Phần sau,,
,退屈,Thoái khuất,たいくつ,"Buồn tẻ, chán ngắt",,
,最高,Tối cao,さいこう,Cao nhất,この店は昨日、開店以来最高の売り上げを記録した。,Hôm qua cửa hàng đã đạt kỉ lục doanh thu cao nhất từ khi mở cửa hàng đến nay
,最低,Tối đê,さいてい,Thấp nhất,クラスで最低の点を取ってしまった。,Tôi bị điểm thấp nhất lớp
,最初,Tối sơ,さいしょ,Đầu tiên,最初にひらがなを、次にカタカナを勉強した。,Đầu tiên tôi học hiragana và sau đó học katakana
,最後,Tối hậu,さいご,Cuối cùng,最後の出勤日に花束をもらった。,Tôi đã nhận được một bó hoa vào ngày làm việc cuối cùng
,花束,Hoa thúc,はなたば,Bó hoa,,
,自動,Tự động,じどう,Tự động,このドアは自動だから、手で開けなくてもいい。,Cửa này là tự động nên không cần phải mở bằng tay
,種類,Chủng loại,しゅるい,Chủng loại,公園にはいろいろな種類の花がある。,Trong công viên có rất nhiều loại hoa
,性格,Tính cách,せいかく,Tính cách tâm trạng trạng thái tính tình,あの人は性格がいいので、みんなに好かれている。,Người ấy có tính cách tốt nên được mọi người yêu quý
,性質,Tính chất,せいしつ,Tính chất,人は持って生まれた性質をなかなか変えられない。,Con người khó mà thay đổi bản chất có được từ khi mới sinh ra
,布,Bố,ぬの,Vải vải bố vải vóc,この布は燃えにくい性質を持っている。,Vải này có tính chất chống cháy
,順番,Thuận phiên,じゅんばん,Thứ tự,発表の順番を決める。,Quyết định thứ tự thuyết trình
,発表,Phát biểu,はっぴょう,Phát biểu,,
,商品,Thương phẩm,しょうひん,Phần thưởng hàng sản phẩm,大きい商品から順番に並べる。,Xếp lần lượt theo thứ tự từ những hàng hoá lớn đến bé
,番,Phiên,ばん,Lượt,次は私の番です。,Tiếp theo đến lượt của tôi
,方法,Phương pháp,ほうほう,Phương pháp,いい方法を探す。,Tìm kiếm phương pháp hiệu quả
,検査,Kiểm tra,ちょうさ,Kiểm tra,完成した製品を検査する。,Kiểm tra sản phẩm đã hoàn thành
,完成,Hoàn thành,かんせい,Hoàn thành,,
,製品,Chế phẩm,せいひん,"Sản phẩm, thành phẩm",,
,値上がり,Trị thượng,ねあがり,sự Tăng giá giá tăng,石油が値上がりする。,Giá dầu tăng
,生,Sinh,なま,"Tươi, mới (chưa chế biến)",肉を生で食べる。,Ăn thịt sống
,渇く,Khát,かわく,Khát,のどが渇いた。,Khát nước
,嗅ぐ,Khứu,かぐ,Ngửi,匂いを嗅ぐ。,Ngửi thấy mùi
,叩く,Khấu,たたく,"Vỗ, đánh, gõ",隣の人の肩を叩く。,Vỗ vai người bên cạnh
,お尻,Khào,おしり,Mông,子供のお尻を叩く。,Đánh vào mông đứa trẻ
